sample_id,group_id,split,label_for_posthoc_reference,archive_path,archive_revision,archive_member_path,local_video_path,expected_uncompressed_size,actual_file_size,zip_crc,sha256,codec,width,height,fps,duration_seconds,frame_count,range_bytes_transferred,extraction_seconds,ffprobe_ok,status,failure_reason,candidate_manifest_sha256
real::RN_7nPK_pYI_0_0to319,aigvdbench:RN_7nPK_pYI_0_0to319,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/RN_7nPK_pYI_0_0to319.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpSTl83blBLX3BZSV8wXzB0bzMxOQ/real.mp4,8273604,8273604,eb92ce21,f60936b93b7baf7b21c9504e774511f8e816c6e10198dfc95c4d5a56a42e1d50,h264,1920,1080,25.0,12.76,319,8272700,25.84110981132835,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::RN_7nPK_pYI_0_0to319,aigvdbench:RN_7nPK_pYI_0_0to319,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/RN_7nPK_pYI_0_0to319.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpSTl83blBLX3BZSV8wXzB0bzMxOQ/open_sora.mp4,51493,51493,80fedf66,6c0f59bb403d722396ebcb8082acb4a0e0b9a18f0540e138ff5c6779d5cc5c34,h264,336,192,24.0,1.541667,37,50669,17.768257253803313,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::YUPQHE8dOyI_9_0to176,aigvdbench:YUPQHE8dOyI_9_0to176,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/YUPQHE8dOyI_9_0to176.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpZVVBRSEU4ZE95SV85XzB0bzE3Ng/real.mp4,2064160,2064160,4a2089a0,ce86521f410e5557d63040a663d7930400c2c6cdb06b0a0d972afc222ac70478,h264,1920,1080,25.0,7.04,176,2063164,20.121546406298876,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::YUPQHE8dOyI_9_0to176,aigvdbench:YUPQHE8dOyI_9_0to176,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/YUPQHE8dOyI_9_0to176.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpZVVBRSEU4ZE95SV85XzB0bzE3Ng/open_sora.mp4,48923,48923,4a09759a,2065ee7ed1a882eb957263f4662c989dcacd8509960db598daeef0953c27f93d,h264,336,192,24.0,1.541667,37,48129,17.68434148374945,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::mHoO8vEm1co_1_34to168,aigvdbench:mHoO8vEm1co_1_34to168,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/mHoO8vEm1co_1_34to168.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDptSG9POHZFbTFjb18xXzM0dG8xNjg/real.mp4,2301072,2301072,dd09a673,8af472290251414c4441e80d63a684757f24e2a0b750940d1ebd4ffb9d1b9a72,h264,1920,1080,23.976,4.713046,113,2300215,20.02481521293521,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::mHoO8vEm1co_1_34to168,aigvdbench:mHoO8vEm1co_1_34to168,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/mHoO8vEm1co_1_34to168.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDptSG9POHZFbTFjb18xXzM0dG8xNjg/open_sora.mp4,39046,39046,18588558,c230790157817f3a34e5adfb902534a8c89827c8142bb2a7f511ef8fcf866ba7,h264,336,192,24.0,1.541667,37,38296,17.14663397707045,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::ci8GjIKQDKU_24_0to109,aigvdbench:ci8GjIKQDKU_24_0to109,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/ci8GjIKQDKU_24_0to109.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpjaThHaklLUURLVV8yNF8wdG8xMDk/real.mp4,1355118,1355118,232ec6cc,0899197c0664c0ed0d7320c70aa98e470cc95fb213f0021af42ed4ffba8fe2f9,h264,1920,1080,29.97,3.63697,109,1354391,19.014325379393995,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::ci8GjIKQDKU_24_0to109,aigvdbench:ci8GjIKQDKU_24_0to109,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/ci8GjIKQDKU_24_0to109.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpjaThHaklLUURLVV8yNF8wdG8xMDk/open_sora.mp4,40815,40815,8fd78a03,e027ef538c44bd4d8192ad086423e8a8725ab65bc8125d22c89345c70aa016e5,h264,336,192,24.0,1.541667,37,40039,17.65949107799679,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::9S2-sD1HIbQ_21_126to247,aigvdbench:9S2-sD1HIbQ_21_126to247,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/9S2-sD1HIbQ_21_126to247.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDo5UzItc0QxSEliUV8yMV8xMjZ0bzI0Nw/real.mp4,1712108,1712108,2f01ba00,b98cb3a4a3ec396b4b9f8f27f06b4a9a69851a5e6ca26e2e0edf2bf1e6e46b7a,h264,1920,1080,29.97,3.33667,100,1711690,19.639871175400913,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::9S2-sD1HIbQ_21_126to247,aigvdbench:9S2-sD1HIbQ_21_126to247,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/9S2-sD1HIbQ_21_126to247.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDo5UzItc0QxSEliUV8yMV8xMjZ0bzI0Nw/open_sora.mp4,38581,38581,2f7f1730,188d7bd462a9a912d034097cb64b79e8e4589b1865fe2119ee3b6f392e604d5a,h264,336,192,24.0,1.541667,37,37786,17.56318944040686,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::EXmiHun7d-8_29_776to898,aigvdbench:EXmiHun7d-8_29_776to898,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/EXmiHun7d-8_29_776to898.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpFWG1pSHVuN2QtOF8yOV83NzZ0bzg5OA/real.mp4,2604191,2604191,d13a5f46,2d270c00633ee4009711977345480cbf47d55e0289e564090327b166ebdffa54,h264,1920,1080,25.0,4.04,101,2603994,8.80742098391056,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::EXmiHun7d-8_29_776to898,aigvdbench:EXmiHun7d-8_29_776to898,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/EXmiHun7d-8_29_776to898.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpFWG1pSHVuN2QtOF8yOV83NzZ0bzg5OA/open_sora.mp4,67946,67946,027b86d0,020f08ea69d7bb51341a2758d86b9d26f391ea1facc13c8535b5e2df728ecddd,h264,336,192,24.0,1.541667,37,67140,10.067576305009425,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::wmd4Nbunuyg_11_193to331,aigvdbench:wmd4Nbunuyg_11_193to331,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/wmd4Nbunuyg_11_193to331.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDp3bWQ0TmJ1bnV5Z18xMV8xOTN0bzMzMQ/real.mp4,3723366,3723366,edc326fd,3f98206d3aad2de695850301c2d15ec9a21738b63523a62cfda25ac55c48b5ee,h264,1920,1080,25.0,4.68,117,3723288,8.702580444514751,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::wmd4Nbunuyg_11_193to331,aigvdbench:wmd4Nbunuyg_11_193to331,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/wmd4Nbunuyg_11_193to331.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDp3bWQ0TmJ1bnV5Z18xMV8xOTN0bzMzMQ/open_sora.mp4,47328,47328,b9a4709f,12bed48df0047cb75bbea1215b5e2187a17ddaac345dc4b71cc4d2fdf1f0f01c,h264,336,192,24.0,1.541667,37,46581,8.15264046471566,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::w7h--c54_O8_24_0to135,aigvdbench:w7h--c54_O8_24_0to135,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/w7h--c54_O8_24_0to135.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDp3N2gtLWM1NF9POF8yNF8wdG8xMzU/real.mp4,1220980,1220980,ef1d58a2,7b30573950b77cccf249e5f9a93e21e193ae5ede3234abda0f5ccdc1932323f6,h264,1920,1080,29.97,3.803804,114,1220228,9.083365424536169,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::w7h--c54_O8_24_0to135,aigvdbench:w7h--c54_O8_24_0to135,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/w7h--c54_O8_24_0to135.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDp3N2gtLWM1NF9POF8yNF8wdG8xMzU/open_sora.mp4,46872,46872,bbef00fa,db9e1b0242d5266ef71142598ca07dfa22a74e7758418adfa51c5de1e94c35b8,h264,336,192,24.0,1.541667,37,46088,8.761588172987103,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::2lTq3d3vY04_0_96to280,aigvdbench:2lTq3d3vY04_0_96to280,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/2lTq3d3vY04_0_96to280.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDoybFRxM2QzdlkwNF8wXzk2dG8yODA/real.mp4,3383382,3383382,08988ac7,411235d233bf20090d7bf045141c3aba5c9fd8ba7ac6e2b7358205884650cd80,h264,1920,1080,29.97,5.438772,163,3383112,11.394213928841054,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::2lTq3d3vY04_0_96to280,aigvdbench:2lTq3d3vY04_0_96to280,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/2lTq3d3vY04_0_96to280.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDoybFRxM2QzdlkwNF8wXzk2dG8yODA/open_sora.mp4,63631,63631,93c0a14b,a283e120e7e3b036714cbfacbd82ce7d74f74b141cfa816f5569afd2a22092a7,h264,336,192,24.0,1.541667,37,62968,10.493582404218614,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::qb4DJAgNGiQ_87_29to141,aigvdbench:qb4DJAgNGiQ_87_29to141,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/qb4DJAgNGiQ_87_29to141.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpxYjRESkFnTkdpUV84N18yOXRvMTQx/real.mp4,2316523,2316523,f5c93da5,3667fb7d91694c2adcbfd517e2f36906118305bf9cacc9bf7df39a0de01576ac,h264,1920,1080,24.0,3.791667,91,2316364,9.262843704782426,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::qb4DJAgNGiQ_87_29to141,aigvdbench:qb4DJAgNGiQ_87_29to141,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/qb4DJAgNGiQ_87_29to141.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpxYjRESkFnTkdpUV84N18yOXRvMTQx/open_sora.mp4,62975,62975,72116c77,24778c1cfc96011131794117a7bbcdbad7d8e570f8e18d83cdf045237a819937,h264,336,192,24.0,1.541667,37,62259,9.975923868827522,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::zEr5cbkNabY_38_39to140,aigvdbench:zEr5cbkNabY_38_39to140,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/zEr5cbkNabY_38_39to140.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDp6RXI1Y2JrTmFiWV8zOF8zOXRvMTQw/real.mp4,1216645,1216645,d3d652c2,60e60217ab591626fbaaefe05858b48639b065b5147fd00d13718a53f1d810cf,h264,1920,1080,25.0,3.2,80,1216281,7.928764441050589,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::zEr5cbkNabY_38_39to140,aigvdbench:zEr5cbkNabY_38_39to140,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/zEr5cbkNabY_38_39to140.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDp6RXI1Y2JrTmFiWV8zOF8zOXRvMTQw/open_sora.mp4,47662,47662,4350fd29,98de3908017190013f6168d235dee3c373942915756b84672b4e6da3ebc0238a,h264,336,192,24.0,1.541667,37,46838,8.13093145750463,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::_Z5UMH8trWE_637_136to247,aigvdbench:_Z5UMH8trWE_637_136to247,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/_Z5UMH8trWE_637_136to247.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpfWjVVTUg4dHJXRV82MzdfMTM2dG8yNDc/real.mp4,2290445,2290445,cf7eafb7,5fd1156f31d6023c0b23b30dfe5d7d7e09d27d5341a2ee0210407390eb08bd83,h264,1920,1080,29.97,3.003003,90,2290065,9.784410258755088,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::_Z5UMH8trWE_637_136to247,aigvdbench:_Z5UMH8trWE_637_136to247,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/_Z5UMH8trWE_637_136to247.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpfWjVVTUg4dHJXRV82MzdfMTM2dG8yNDc/open_sora.mp4,47368,47368,60c003c2,81505f4b736fe877a0d4e6ee9ecd4ab860c2080e068627008c65d2d57de8eb62,h264,336,192,24.0,1.541667,37,46617,10.41160858143121,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::BjNdaV_Jz4U_5_0to151,aigvdbench:BjNdaV_Jz4U_5_0to151,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/BjNdaV_Jz4U_5_0to151.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpCak5kYVZfSno0VV81XzB0bzE1MQ/real.mp4,3220661,3220661,f24387e2,5f3dd93186f802bef7c1cb0fb49ab91511cd71a6ea0837e67afd4eb043744ac0,h264,1920,1080,23.976,6.297965,151,3220087,9.238744601607323,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::BjNdaV_Jz4U_5_0to151,aigvdbench:BjNdaV_Jz4U_5_0to151,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/BjNdaV_Jz4U_5_0to151.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpCak5kYVZfSno0VV81XzB0bzE1MQ/open_sora.mp4,49233,49233,02ff2a59,026b01c10361d7efc244441edad1fb19382c0f00324a33ff3bddb5850f669d2c,h264,336,192,24.0,1.541667,37,48428,10.340695705264807,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
real::kNVy_zN3BHA_44_53to302,aigvdbench:kNVy_zN3BHA_44_53to302,train,0,AIGVDBench/Real/Real.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/kNVy_zN3BHA_44_53to302.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDprTlZ5X3pOM0JIQV80NF81M3RvMzAy/real.mp4,4655355,4655355,ad4979b5,510aa5299a9eec0b01b0e4d0c1e8666f67d544babcdf7a291bdbd0923e758434,h264,1920,1080,23.976,9.50951,228,4654818,8.122092713601887,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
open_sora::kNVy_zN3BHA_44_53to302,aigvdbench:kNVy_zN3BHA_44_53to302,train,1,AIGVDBench/OpenSource/T2V/Open-Sora.zip,bf48acaa4920990af3dd2a511ea88e63354df305,videos/kNVy_zN3BHA_44_53to302.mp4,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDprTlZ5X3pOM0JIQV80NF81M3RvMzAy/open_sora.mp4,50016,50016,b3b8e100,8a0a4438d51f4240333698fa9157f823be91f3aa9f403c32138fbc1cb1192496,h264,336,192,24.0,1.541667,37,49257,9.223957480862737,True,COMPLETE,,688c8d7a1995bef1ca23ba42d1072811a7a1be7cae5690cb49773fb598b5dfe9
