group_id,split,real_status,fake_status,residual_schema_equal,sampling_protocol_equal,group_status
aigvdbench:qY3kJalwJCA_19_0to102,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:5t7wo8u5SRE_19_0to193,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:itiCqbxMSX0_5_0to132,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:BqiSOb_Llh0_1_95to197,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:h2nUg0Hx81s_322_0to118,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ZOlqY5QMisE_87_0to346,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:PHuXNq3p3Lw_89_0to244,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:pR5j4IH86U0_88_0to253,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:1VUz8j8qb9c_190_52to157,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:PwVIrEiSVcE_7_21to175,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:yqoUL6Mep4I_13_33to234,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:hdFNkcvvy5c_92_0to109,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:UUxXzjbZ4qE_44_0to131,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:WjHMdrqpx3o_20_40to145,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:0QotszIgZso_31_0to313,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:23i__Z-Hm9c_92_0to326,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:7pdva1luF4A_8_58to405,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:1c0W-iGw32Y_39_106to209,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:yxzqc321CF8_2_0to104,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:jT3UZ4qI1ro_70_742to846,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:NxeoiCBphb8_45_0to173,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:cjp1xjOzJqY_10_0to135,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:gpzjvW6nJu8_18_0to112,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:GXi_pbrzdvc_24_0to192,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:TBwmqIlqEnE_1_88to245,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:krgVcdAJcH4_12_0to163,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:yevgxWF5Ldc_0_0to142,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:iQb6qX8uwPU_18_0to620,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:bS4ZAtMcCcU_38_0to131,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:YgeQ1lL3u8U_0_0to771,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:fp6u7Xk5Cjs_8_0to164,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:RalnMa2Z7rs_60_64to221,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:tZGLRJD10jA_10_57to191,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:mRXXGHzkCb4_38_0to148,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:YVHr9RFVfJQ_37_0to210,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:4wknw32uv6E_9_0to324,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:FID0rlfHBjU_9_0to320,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:9OacZ3E49cU_23_0to279,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:RCBUSkFX8Vs_0_0to139,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:uK2P6fVlbb8_79_16to170,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:mezFIMP8FEU_4_19to143,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:eB__nT0rP2c_9_38to273,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:1GyjsUbq19U_7_169to1448,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:4folx0ORjoE_7_0to184,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:vTqNLJG2ExE_8_142to273,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:FZFCeoOqZ9M_11_0to475,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Pft8mdtW8lc_32_0to109,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:YmN8Uza1Cg0_27_0to141,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:vprQHQTTkks_49_0to318,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:nxraujoMuic_3_21to163,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:_Fpe0Z0IfcI_18_0to199,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Av0ULngGQA4_31_0to161,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:pGKNTpVVVz4_7_0to161,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:dh9QWPuxZoE_103_0to253,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:a2rAMOcmUms_149_49to177,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:pGAkDG4qc_4_12_22to136,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:T9fcBLy8Fm4_5_451to604,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:yU81UzKfL1M_21_0to255,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Ze2bPiUdhlA_65_0to102,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:AG_5_Welxvo_0_0to373,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Lbr-7B2HCpQ_13_109to247,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ep3KthzB50s_3_438to576,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:YP707X6ZzJA_0_891to1046,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:giY8abP-vU0_13_92to411,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:pnfPzermXxk_28_24to178,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:lI9YkbW0yJg_84_0to117,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:4s6KIP0XB_A_1_744to862,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:JO39mqWVjvk_1_0to137,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:T1q3-2aeRVM_0_0to109,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:5-frzgT_XDo_3_0to112,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:BDT39Gglirc_5_80to203,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:RhkWtAysuO8_29_147to283,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:UxemEf5Neyc_6_0to273,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:q9UhGkA9iHg_19_0to136,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:HC-b92nUpqg_9_0to108,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:u3HyQKFkLKk_17_1063to1202,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:zb79c2x8JY4_60_0to118,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2IfSrPdfL1g_19_339to466,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:yOJMG_fkDo0_21_0to145,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Ot32XbvdOL8_15_0to166,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:L0Hv_QCdJys_21_0to114,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:4ceHlXNuJ6E_3_0to122,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:MPEKigHLjaM_38_0to126,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:6GuUbIL8RVM_11_19to269,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:VVj2rFRYmG4_13_88to197,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:GqEDVfQ8lIM_51_237to381,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2pKgYZOS8Os_1_21to559,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2ghuQypZEMU_14_34to383,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:pYp81LS_O0Q_33_0to295,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ZmAuHYg5EG0_28_0to343,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:MZQw-TcAX4Q_16_95to231,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:VW-NXFTWPA8_19_0to261,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:4kfC0xu---s_10_0to190,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:B8YGMGaOUAM_69_0to186,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:uIwBXtxxePw_47_162to288,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:30Ub3hf0VUw_12_0to629,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:b1BYr5vTvho_13_0to109,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:H_2h6gChu88_4_0to111,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:d-DpJdkLzx0_1_76to214,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:aqaBeGdz-yI_3_0to225,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:4yFGFzopMLo_5_185to361,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:5nPHMLahBcs_19_0to139,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:DpxSVWnlH0o_34_22to439,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:77v7cMXDAoo_5_0to131,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:97onxOBIFE4_158_37to216,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:FDPBk67FO0U_27_18to123,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:AApWlauaoWw_12_0to102,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:PcvAzZfzFVo_361_574to804,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:NAauLEZdXfs_32_0to493,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:v37iwLFOxvc_28_0to168,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:lYuyr2xMJ04_12_0to125,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:yX9NlKdyr-0_45_0to260,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:MBPJEPcf3hE_45_0to373,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:FVJ6BkjVr6k_24_0to249,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:SUUqUHu4Iz0_5_0to889,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Jz5QTrtaHAo_19_0to862,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:bCL0_LhEK6s_31_16to121,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:3HkhewgRzq0_2_0to226,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2cDpv_b2zRI_22_0to167,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:t2-U8ebk4aA_37_45to159,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:-ilQvzqe0sY_33_0to159,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:RM6jlL-dIs8_2_0to236,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:NDSxhgwiGQQ_9_0to127,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:GASOKMyqOYc_19_0to898,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:CS1fBMbE9CU_21_141to320,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:TqHhTVVJ3m8_44_0to175,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:_h_SRIVIPiQ_182_23to274,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:BDxqrmTsgaw_9_0to242,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:XFWddUg2yU4_38_0to108,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:6Vj-HMj6c9I_30_0to110,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:zolFQPEzhSs_10_0to122,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:zIGH4gaF1BQ_41_0to163,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:8ZuDT6crP_o_16_0to184,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:rGslzbh1q_I_13_0to316,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:gwBkO3YW_Ds_12_0to171,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:lPYcWr_eURI_21_52to158,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:dt95ynNf9CM_28_0to107,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:dzkTqs620EI_41_198to346,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:bManqDAYG1g_28_0to109,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ZoHr5IEdsME_5_0to123,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:pCSAdeg-M1E_4_21to171,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:H5q2_ey2X6c_5_0to106,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:nERor9FolXY_45_0to103,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:nIHO3UXk0og_36_0to201,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:j8volTmylKU_25_0to102,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:gaArEszlVb0_157_0to216,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:oXwNwVMsRi0_9_0to117,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:vhuW6tZeqm4_2_81to594,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:bZp352WTg9o_0_0to672,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:qCQmAXiaXjA_10_0to188,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:_B6SQVcnhXQ_26_0to107,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:5Z9mHFECQRg_8_0to284,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Cw6ZWNzoqz0_2_0to155,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:rmBrin8lqNc_17_0to290,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:c0TS9TX__No_23_0to222,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:l4vcoCydGzY_51_16to344,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:KviRgfpIsbs_13_0to151,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2ys3bEvNorQ_0_481to1272,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:PvTaBtWFh7U_2_0to608,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:hFK5n4KOPuI_1_0to940,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:2qWrvIjFolk_7_0to183,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:_k6CFrwKc_s_0_166to352,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:e-4i4lpLGtU_26_0to268,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:icaoh0VNV14_20_17to244,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:y4CwtyS2L6M_15_0to180,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:g3niHJw5f5Q_22_0to137,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ydhzwi5dFds_8_157to730,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:HD46EPitLKs_7_352to503,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:8Wf9XoWyOQs_14_375to505,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:xgW92dtXPI4_6_0to438,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:fRneaq9JXvM_16_0to356,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:znnNhu2TML8_12_0to442,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:Q_6dEWfnMhE_18_251to779,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:r6Oxqyd5qUw_20_0to206,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:A4RFHaLI0f4_0_0to154,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:uk4ufHkhepk_4_291to497,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:eH_LbWkTiZU_42_18to194,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:1BS4s5NRXaM_1_406to996,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:BkSlw0mdjqY_44_0to136,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:ATLXmT6beUg_17_0to217,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:bC_Kkdn6__0_11_96to312,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:gPJiVy3LvvA_6_0to312,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
aigvdbench:8Om8dvd-Zcc_11_0to226,train,COMPLETE,COMPLETE,True,True,GROUP_RESIDUAL_COMPLETE
